Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Gos1,Gos1S3,7.22,Andrena flavipes,yes,3,C,300,22.9.23,1039.783,0.77,9.23,25.9.23,800,10
Gos1,Gos1S4,7.22,Andrena flavipes,yes,4,C,300,22.9.23,1137.367,0.70,9.30,25.9.23,800,10
Gos1,Gos1S5,7.22,Andrena flavipes,yes ,5,C,300,22.9.23,707.123,1.13,8.87,25.9.23,800,10
Gos1,Gos1S6,7.22,Andrena flavipes,yes,6,C,300,22.9.23,443.502,1.80,8.20,25.9.23,800,10
Gos1,Gos1S7,7.22,Andrena flavipes,no,7,C,300,22.9.23,811.898,0.99,9.01,25.9.23,800,10
Gos1,Gos1S8,7.22,Andrena dorsata,yes,8,C,300,22.9.23,848.244,0.94,9.06,25.9.23,800,10
Gos1,Gos1S9,7.22,Andrena flavipes,no,9,C,300,22.9.23,687.262,1.16,8.84,25.9.23,800,10
Gos1,Gos1S10,7.22,Orasema occidentalis,yes,10,C,300,22.9.23,1068.78,0.75,9.25,25.9.23,800,10
Gos1,Gos1S11,7.22,Andrena flavipes,yes,11,C,500,12.12.23,513.824,1.56,8.44,25.9.23,800,10
Gos2,Gos2S1,7.22,Andrena wilkella,no,1,C,300,22.9.23,648.8,1.23,8.77,25.9.23,800,10
Gos2,Gos2S2,7.22,Eucera longicornis,no,2,C,500,22.9.23,118.843,3.37,6.63,25.9.23,400,5
Gos2,Gos2S3,7.22,Eucera longicornis,no,3,C,500,22.9.23,131.777,3.04,6.96,25.9.23,400,5
Gos2,Gos2S4,7.22,Andrena flavipes,yes,4,C,300,22.9.23,717.851,1.11,8.89,25.9.23,800,10
Gos2,Gos2S5,7.22,Andrena ovatula,yes,5,C,300,5.10.23,842.573,0.95,9.05,25.9.23,800,10
Gos2,Gos2S6,7.22,Andrena flavipes,yes,6,C,300,5.10.23,935.447,0.86,9.14,25.9.23,800,10
Gos2,Gos2S7,7.22,Andrena ovatula,yes,7,C,300,5.10.23,708.685,1.13,8.87,6.10.23,800,10
Gos2,Gos2S8,7.22,Andrena wilkella,yes,8,C,300,5.10.23,648.66,1.23,8.77,6.10.23,800,10
Gos2,Gos2S9,7.22,Andrena flavipes,yes,9,C,300,5.10.23,873.105,0.92,9.08,6.10.23,800,10
